source_id,source,venue_year,primary_use,closure_status,source_kind
SRC-038,"Pinto Y, Neville DA, Otten M, et al. Split brain: divided perception but undivided consciousness","Brain, 2017","Split perception, residual access/agentive unity","Closed; DOI 10.1093/brain/aww358",SINGLE_WORK
SRC-039,"de Haan EHF, Corballis PM, Hillyard SA, et al. Split-Brain: What We Know Now and Why This is Important for Understanding Consciousness","Neuropsychology Review, 2020","Split-brain integration synthesis; boundary distinctions","Closed; DOI 10.1007/s11065-020-09439-3",SINGLE_WORK
SRC-040,"Schechter E, Bayne T. Consciousness after split-brain surgery: The recent challenge to the classical picture","Neuropsychologia, 2021","Agency unity versus experiential unity","Closed; DOI 10.1016/j.neuropsychologia.2021.107987",SINGLE_WORK
SRC-041,"Corballis MC, Corballis PM, Berlucchi G, Marzi CA. Perceptual unity in the split brain: the role of subcortical connections","Brain, 2018","Residual transfer pathways and cross-cue controls","Closed; DOI 10.1093/brain/awy085",SINGLE_WORK
SRC-042,"Kliemann D, Adolphs R, Tyszka JM, et al. Intrinsic Functional Connectivity of the Brain in Adults with a Single Cerebral Hemisphere","Cell Reports, 2019","Hemispherectomy network reorganization and boundary flexibility","Closed; DOI 10.1016/j.celrep.2019.10.067",SINGLE_WORK
SRC-043,"Kliemann/Adolphs/Paul et al. Stability and plasticity of functional brain networks after hemispherectomy: implications for consciousness research","Review/commentary, 2020","Hemispherectomy synthesis only; primary connectivity claims anchored to SRC-042","PARTIAL: synthesis citation retained from v0.7; no independent score promotion",PARTIAL_RECORD
SRC-044,"Tononi G. Integrated information theory of consciousness: an updated account","Archives Italiennes de Biologie, 2012","IIT exclusion/boundary background","Closed for background use; PMID 23802335; exact IIT 4.0 claims remain SRC-003",SINGLE_WORK
SRC-045,"Kouider S, Stahlhut C, Gelskov SV, et al. A Neural Marker of Perceptual Consciousness in Infants","Science, 2013","Infant threshold dynamics; GNWT/access-compatible processing","Closed; DOI 10.1126/science.1232509",SINGLE_WORK
SRC-046,"Moser J, Schleger F, Weiss M, et al. Magnetoencephalographic signatures of hierarchical rule learning in newborns","Developmental Cognitive Neuroscience, 2020","Newborn local-global integration and state dependence","Closed; DOI 10.1016/j.dcn.2020.100871",SINGLE_WORK
SRC-047,"Basirat A, Dehaene S, Dehaene-Lambertz G. A hierarchy of cortical responses to sequence violations in three-month-old infants","Cognition, 2014","Infant hierarchical prediction/global-rule processing","Closed; DOI 10.1016/j.cognition.2014.03.013",SINGLE_WORK
SRC-048,"Burnham D, Dodd B. Auditory-visual speech integration by prelinguistic infants: perception of an emergent consonant in the McGurk effect","Developmental Psychobiology, 2004","Infant multisensory content integration","Closed; DOI 10.1002/dev.20032",SINGLE_WORK
SRC-049,"Bayne T, Frohlich J, Cusack R, Moser J, Naci L. Consciousness in the cradle: on the emergence of infant experience","Trends in Cognitive Sciences, 2023","Developmental consciousness synthesis","Closed; DOI 10.1016/j.tics.2023.08.018",SINGLE_WORK
SRC-050,"Frohlich J, Bayne T, Crone JS, et al. Not with a 'zap' but with a 'beep': Measuring the origins of perinatal experience","NeuroImage, 2023","Perinatal measurement design and onset constraints","Closed; DOI 10.1016/j.neuroimage.2023.120057",SINGLE_WORK
SRC-051,"Frohlich J, Bayne T. Markers of consciousness in infants: Towards a cluster-based approach","Acta Paediatrica, 2025","Developmental measurement methodology; marker convergence","Closed; DOI 10.1111/apa.17449; methodological-only CMC 0",SINGLE_WORK
SRC-052,"Functional networks in the infant brain during sleep and wake states","Cerebral Cortex, 2023","Infant state calibration and functional-connectivity confounding","PARTIAL bibliographic closure: title/venue/DOI retained from v0.8; author string not present in parent ledger; DOI 10.1093/cercor/bhad327",PARTIAL_RECORD
SRC-053,"Passos-Ferreira C. Can we detect consciousness in newborn infants?","Neuron, 2024","Newborn-consciousness interpretive synthesis","Closed; DOI 10.1016/j.neuron.2024.04.024",SINGLE_WORK
SRC-054,"A survey of views about infant consciousness","Neuroscience of Consciousness, 2026","Expert-belief/uncertainty map only","PARTIAL bibliographic closure: author string not present in parent ledger; DOI 10.1093/nc/niag014; CMC 0",PARTIAL_RECORD
SRC-055,"New York Declaration on Animal Consciousness","New York University, 2024","Field-level animal-consciousness prior/consensus statement","Closed as consensus statement; CMC 0 for empirical support",CONSENSUS
SRC-056,"Birch J, Schnell AK, Clayton NS. Dimensions of Animal Consciousness","Trends in Cognitive Sciences, 2020","Multidimensional comparative animal-consciousness framework","Closed; DOI 10.1016/j.tics.2020.07.007; framework CMC 0",SINGLE_WORK
SRC-057,"Leopold DA, Logothetis NK. Activity changes in early visual cortex reflect monkeys' percepts during binocular rivalry","Nature, 1996","Primate percept-linked neural activity under constant stimulation","Closed; DOI 10.1038/379549a0",SINGLE_WORK
SRC-058,"Nieder A, Wagener L, Rinnert P. A neural correlate of sensory consciousness in a corvid bird","Science, 2020","Corvid percept-linked neuronal activity; architecture-neutrality test","Closed; DOI 10.1126/science.abb1447",SINGLE_WORK
SRC-059,"Hampton RR. Rhesus monkeys know when they remember","PNAS, 2001","Primate metamemory / META-layer evidence","Closed; DOI 10.1073/pnas.071600998",SINGLE_WORK
SRC-060,"Foote AL, Crystal JD. Metacognition in the rat","Current Biology, 2007","Rodent uncertainty monitoring / META-layer evidence","Closed; DOI 10.1016/j.cub.2007.01.061",SINGLE_WORK
SRC-061,"Crook RJ. Behavioral and neurophysiological evidence suggests affective pain experience in octopus","iScience, 2021","Cephalopod pain/analgesic relief; evaluative richness","Closed; DOI 10.1016/j.isci.2021.102229",SINGLE_WORK
SRC-062,"Birch J, Burn C, Schnell AK, Browning H, Crump A. Review of the Evidence of Sentience in Cephalopod Molluscs and Decapod Crustaceans","LSE / DEFRA, 2021","Cephalopod/decapod sentience evidence synthesis","Closed as review/report; no direct experimental promotion",REVIEW_REPORT
SRC-063,"Solvi C, Baciadonna L, Chittka L. Unexpected rewards induce dopamine-dependent positive emotion-like state changes in bumblebees","Science, 2016","Insect affect-like state; evaluative richness","Closed; DOI 10.1126/science.aaf4454",SINGLE_WORK
SRC-064,"Gibbons M, et al. Do bumble bees play?","Animal Behaviour, 2022","Insect play-like/rewarding behavior","Closed; DOI 10.1016/j.anbehav.2022.08.013",SINGLE_WORK
SRC-065,"Fossat P, Bacqué-Cazenave J, De Deurwaerdère P, Delbecque JP, Cattaert D. Anxiety-like behavior in crayfish is controlled by serotonin","Science, 2014","Crustacean anxiety-like state; pharmacological manipulation","Closed; DOI 10.1126/science.1248811",SINGLE_WORK
SRC-066,"Sneddon LU, Braithwaite VA, Gentle MJ. Do fishes have nociceptors? Evidence for the evolution of a vertebrate sensory system; plus linked 2003 novel-object study","Proceedings Royal Society B / Journal of Pain, 2003","Fish nociception, attention trade-off, analgesic-sensitive behavior","Closed as paired v0.9 source cluster; DOIs 10.1098/rspb.2003.2349 and 10.1067/S1526-5900(03)00717-X",PAIRED_CLUSTER
SRC-067,"Elwood RW and related decapod trade-off studies. Motivational trade-offs and electric-shock avoidance in hermit/shore crabs","Multiple studies, 2016-2024","Decapod motivational trade-offs and nonreflexive valuation","PARTIAL: umbrella literature cluster; exact study-level source IDs required before any score promotion",UMBRELLA_CLUSTER
SRC-068,"Trujillo et al. Complex Oscillatory Waves Emerging from Cortical Organoids Model Early Human Brain Network Development","Cell Stem Cell, 2019","Organoid oscillations / developmental network organization","Closed; DOI 10.1016/j.stem.2019.08.002",SINGLE_WORK
SRC-069,"Sharf et al. Functional neuronal circuitry and oscillatory dynamics in human brain organoids","Nature Communications, 2022","Functional connectivity / field potentials / drug perturbation","Closed; DOI 10.1038/s41467-022-32115-4",SINGLE_WORK
SRC-070,"Osaki et al. Complex activity and short-term plasticity of reciprocally connected cerebral organoids","Nature Communications, 2024","Dual-organoid causal integration / plasticity","Closed; DOI 10.1038/s41467-024-46787-7",SINGLE_WORK
SRC-071,"Martin-Burgos et al. Development of neuronal timescales in human cortical organoids","Journal of Neurophysiology, 2024","Temporal persistence / EV4","Closed; DOI 10.1152/jn.00135.2024",SINGLE_WORK
SRC-072,"Cai et al. Brain organoid reservoir computing for artificial intelligence","Nature Electronics, 2023","Fading memory / adaptive reservoir computation","Closed; DOI 10.1038/s41928-023-01069-w",SINGLE_WORK
SRC-073,"Park et al. Modulation of neuronal activity in cortical organoids with bioelectronic delivery","Cell Reports Methods, 2024","Selective causal modulation","Closed; DOI 10.1016/j.crmeth.2023.100686",SINGLE_WORK
SRC-074,"Quadrato et al. Cell diversity and network dynamics in photosensitive human brain organoids","Nature, 2017","Input-sensitive organoid network activity","Closed; DOI 10.1038/nature22047",SINGLE_WORK
SRC-075,"Andersen et al. Generation of Functional Human 3D Cortico-Motor Assembloids","Cell, 2020","Multisynaptic output / assembloids","Closed; DOI 10.1016/j.cell.2020.11.017",SINGLE_WORK
SRC-076,"Wilson et al. Cortical organoids implanted in mice reveal functional connection with visual cortex","Nature Communications, 2022","Host sensory embedding / transplantation","Closed; PMID 36572698",SINGLE_WORK
SRC-077,"Consciousness and Human Brain Organoids: conceptual mapping systematic review","AJOB Neuroscience, 2025","Organoid consciousness measurement / conceptual synthesis","Closed; DOI 10.1080/21507740.2025.2519459",SINGLE_WORK
SRC-078,"Holm & Lewis. Neural Organoids: possibility of sentience","Cambridge Quarterly of Healthcare Ethics, 2025","Sentience inference guardrails","Closed; DOI 10.1017/S0963180126100140",SINGLE_WORK
