source_id,source,venue_year,primary_use,closure_status
SRC-020,Kalra et al. Electronic Energy Migration in Microtubules,"ACS Central Science, 2023",Microtubule energy migration and anesthetic sensitivity,Closed; DOI 10.1021/acscentsci.2c01114
SRC-021,Siclari et al. Assessing sleep consciousness within subjects using a serial awakening paradigm,"Frontiers in Psychology, 2013",Within-subject experience/no-experience sampling across NREM and REM,Closed; DOI 10.3389/fpsyg.2013.00542
SRC-022,Siclari et al. The neural correlates of dreaming,"Nature Neuroscience, 2017",Within-state posterior EEG correlates and content-sensitive dream decoding,Closed; DOI 10.1038/nn.4545
SRC-023,Massimini et al. Breakdown of cortical effective connectivity during sleep,"Science, 2005",TMS-EEG causal propagation during wake versus NREM sleep,Closed; DOI 10.1126/science.1117256
SRC-024,Pigorini et al. Bistability breaks-off deterministic responses to intracortical stimulation during non-REM sleep,"NeuroImage, 2015",Intracranial stimulation; OFF-period/bistability mechanism in NREM,Closed; DOI 10.1016/j.neuroimage.2015.02.056
SRC-025,Casali et al. A theoretically based index of consciousness independent of sensory processing and behavior,"Science Translational Medicine, 2013","PCI across wake, dreaming, NREM sleep, anesthesia and brain injury",Closed; DOI 10.1126/scitranslmed.3006294
SRC-026,Casarotto et al. Stratification of unresponsive patients by an independently validated index of brain complexity,"Annals of Neurology, 2016",Independent PCI cutoff validation using dreaming and unconscious NREM benchmark states,Closed; DOI 10.1002/ana.24779
SRC-027,"Tononi, Boly & Cirelli. Consciousness and sleep","Neuron, 2024","Contemporary synthesis of dreaming, dreamless sleep, bistability, disconnection and content",Closed; DOI 10.1016/j.neuron.2024.04.011
SRC-028,Nir et al. Regional slow waves and spindles in human sleep,"Neuron, 2011",Intracranial evidence that NREM slow waves and spindles are substantially local,Closed; DOI 10.1016/j.neuron.2011.02.043
SRC-029,"Giacino, Kalmar & Whyte. JFK Coma Recovery Scale-Revised: measurement characteristics and diagnostic utility","Arch Phys Med Rehabil, 2004",Standardized behavioral consciousness assessment; reference method,Closed; doi:10.1016/j.apmr.2004.02.033
SRC-030,Schnakers et al. Diagnostic accuracy of vegetative and minimally conscious state,"BMC Neurology, 2009",Behavioral misdiagnosis; CRS-R versus clinical consensus,Closed; doi:10.1186/1471-2377-9-35
SRC-031,Owen et al. Detecting awareness in the vegetative state,"Science, 2006",Proof-of-principle covert command following by mental imagery,Closed; doi:10.1126/science.1130197
SRC-032,Monti et al. Willful modulation of brain activity in disorders of consciousness,"N Engl J Med, 2010",Multicenter fMRI mental imagery and yes/no communication,Closed; doi:10.1056/NEJMoa0905370
SRC-033,Claassen et al. Detection of brain activation in unresponsive patients with acute brain injury,"N Engl J Med, 2019",EEG cognitive-motor dissociation in acute brain injury and prognosis,Closed; doi:10.1056/NEJMoa1812757
SRC-034,Bodien et al. Cognitive Motor Dissociation in Disorders of Consciousness,"N Engl J Med, 2024",Six-center fMRI/EEG prevalence study; active-paradigm sensitivity limits,Closed; doi:10.1056/NEJMoa2400645
SRC-035,Giacino et al. Practice guideline update recommendations summary: Disorders of consciousness,"Neurology, 2018",Serial standardized assessment; diagnosis/prognosis clinical guardrails,Closed; doi:10.1212/WNL.0000000000005926
SRC-036,"Peterson et al. Risk, diagnostic error, and the clinical science of consciousness","NeuroImage: Clinical, 2015",False-positive/false-negative risks in active fMRI/EEG paradigms,Closed; doi:10.1016/j.nicl.2015.02.008
SRC-037,Sperry RW. Hemisphere deconnection and unity in conscious awareness,"American Psychologist, 1968",Foundational split-brain interpretation; divided access/control,Closed for source identity; foundational interpretation
SRC-038,"Pinto Y, Neville DA, Otten M, et al. Split brain: divided perception but undivided consciousness","Brain, 2017","Split perception, residual access/agentive unity",Closed; DOI 10.1093/brain/aww358
SRC-039,"de Haan EHF, Corballis PM, Hillyard SA, et al. Split-Brain: What We Know Now and Why This is Important for Understanding Consciousness","Neuropsychology Review, 2020",Split-brain integration synthesis; boundary distinctions,Closed; DOI 10.1007/s11065-020-09439-3
SRC-040,"Schechter E, Bayne T. Consciousness after split-brain surgery: The recent challenge to the classical picture","Neuropsychologia, 2021",Agency unity versus experiential unity,Closed; DOI 10.1016/j.neuropsychologia.2021.107987
SRC-041,"Corballis MC, Corballis PM, Berlucchi G, Marzi CA. Perceptual unity in the split brain: the role of subcortical connections","Brain, 2018",Residual transfer pathways and cross-cue controls,Closed; DOI 10.1093/brain/awy085
SRC-042,"Kliemann D, Adolphs R, Tyszka JM, et al. Intrinsic Functional Connectivity of the Brain in Adults with a Single Cerebral Hemisphere","Cell Reports, 2019",Hemispherectomy network reorganization and boundary flexibility,Closed; DOI 10.1016/j.celrep.2019.10.067
SRC-043,Kliemann/Adolphs/Paul et al. Stability and plasticity of functional brain networks after hemispherectomy: implications for consciousness research,"Review/commentary, 2020",Hemispherectomy synthesis only; primary connectivity claims anchored to SRC-042,PARTIAL: synthesis citation retained from v0.7; no independent score promotion
SRC-044,Tononi G. Integrated information theory of consciousness: an updated account,"Archives Italiennes de Biologie, 2012",IIT exclusion/boundary background,Closed for background use; PMID 23802335; exact IIT 4.0 claims remain SRC-003
SRC-045,"Kouider S, Stahlhut C, Gelskov SV, et al. A Neural Marker of Perceptual Consciousness in Infants","Science, 2013",Infant threshold dynamics; GNWT/access-compatible processing,Closed; DOI 10.1126/science.1232509
SRC-046,"Moser J, Schleger F, Weiss M, et al. Magnetoencephalographic signatures of hierarchical rule learning in newborns","Developmental Cognitive Neuroscience, 2020",Newborn local-global integration and state dependence,Closed; DOI 10.1016/j.dcn.2020.100871
SRC-047,"Basirat A, Dehaene S, Dehaene-Lambertz G. A hierarchy of cortical responses to sequence violations in three-month-old infants","Cognition, 2014",Infant hierarchical prediction/global-rule processing,Closed; DOI 10.1016/j.cognition.2014.03.013
SRC-048,"Burnham D, Dodd B. Auditory-visual speech integration by prelinguistic infants: perception of an emergent consonant in the McGurk effect","Developmental Psychobiology, 2004",Infant multisensory content integration,Closed; DOI 10.1002/dev.20032
SRC-049,"Bayne T, Frohlich J, Cusack R, Moser J, Naci L. Consciousness in the cradle: on the emergence of infant experience","Trends in Cognitive Sciences, 2023",Developmental consciousness synthesis,Closed; DOI 10.1016/j.tics.2023.08.018
SRC-050,"Frohlich J, Bayne T, Crone JS, et al. Not with a ""zap"" but with a ""beep"": Measuring the origins of perinatal experience","NeuroImage, 2023",Perinatal measurement design and onset constraints,Closed; DOI 10.1016/j.neuroimage.2023.120057
SRC-051,"Frohlich J, Bayne T. Markers of consciousness in infants: Towards a cluster-based approach","Acta Paediatrica, 2025",Developmental measurement methodology; marker convergence,Closed; DOI 10.1111/apa.17449; methodological-only CMC 0
SRC-052,Functional networks in the infant brain during sleep and wake states,"Cerebral Cortex, 2023",Infant state calibration and functional-connectivity confounding,PARTIAL bibliographic closure: title/venue/DOI retained from v0.8; author string not present in parent ledger; DOI 10.1093/cercor/bhad327
SRC-053,Passos-Ferreira C. Can we detect consciousness in newborn infants?,"Neuron, 2024",Newborn-consciousness interpretive synthesis,Closed; DOI 10.1016/j.neuron.2024.04.024
SRC-054,A survey of views about infant consciousness,"Neuroscience of Consciousness, 2026",Expert-belief/uncertainty map only,PARTIAL bibliographic closure: author string not present in parent ledger; DOI 10.1093/nc/niag014; CMC 0
SRC-055,New York Declaration on Animal Consciousness,"New York University, 2024",Field-level animal-consciousness prior/consensus statement,Closed as consensus statement; CMC 0 for empirical support
SRC-056,"Birch J, Schnell AK, Clayton NS. Dimensions of Animal Consciousness","Trends in Cognitive Sciences, 2020",Multidimensional comparative animal-consciousness framework,Closed; DOI 10.1016/j.tics.2020.07.007; framework CMC 0
SRC-057,"Leopold DA, Logothetis NK. Activity changes in early visual cortex reflect monkeys' percepts during binocular rivalry","Nature, 1996",Primate percept-linked neural activity under constant stimulation,Closed; DOI 10.1038/379549a0
SRC-058,"Nieder A, Wagener L, Rinnert P. A neural correlate of sensory consciousness in a corvid bird","Science, 2020",Corvid percept-linked neuronal activity; architecture-neutrality test,Closed; DOI 10.1126/science.abb1447
SRC-059,Hampton RR. Rhesus monkeys know when they remember,"PNAS, 2001",Primate metamemory / META-layer evidence,Closed; DOI 10.1073/pnas.071600998
SRC-060,"Foote AL, Crystal JD. Metacognition in the rat","Current Biology, 2007",Rodent uncertainty monitoring / META-layer evidence,Closed; DOI 10.1016/j.cub.2007.01.061
SRC-061,Crook RJ. Behavioral and neurophysiological evidence suggests affective pain experience in octopus,"iScience, 2021",Cephalopod pain/analgesic relief; evaluative richness,Closed; DOI 10.1016/j.isci.2021.102229
SRC-062,"Birch J, Burn C, Schnell AK, Browning H, Crump A. Review of the Evidence of Sentience in Cephalopod Molluscs and Decapod Crustaceans","LSE / DEFRA, 2021",Cephalopod/decapod sentience evidence synthesis,Closed as review/report; no direct experimental promotion
SRC-063,"Solvi C, Baciadonna L, Chittka L. Unexpected rewards induce dopamine-dependent positive emotion-like state changes in bumblebees","Science, 2016",Insect affect-like state; evaluative richness,Closed; DOI 10.1126/science.aaf4454
SRC-064,"Gibbons M, et al. Do bumble bees play?","Animal Behaviour, 2022",Insect play-like/rewarding behavior,Closed; DOI 10.1016/j.anbehav.2022.08.013
SRC-065,"Fossat P, Bacqué-Cazenave J, De Deurwaerdère P, Delbecque JP, Cattaert D. Anxiety-like behavior in crayfish is controlled by serotonin","Science, 2014",Crustacean anxiety-like state; pharmacological manipulation,Closed; DOI 10.1126/science.1248811
SRC-066,"Sneddon LU, Braithwaite VA, Gentle MJ. Do fishes have nociceptors? Evidence for the evolution of a vertebrate sensory system; plus linked 2003 novel-object study","Proceedings Royal Society B / Journal of Pain, 2003","Fish nociception, attention trade-off, analgesic-sensitive behavior",Closed as paired v0.9 source cluster; DOIs 10.1098/rspb.2003.2349 and 10.1067/S1526-5900(03)00717-X
SRC-067,Elwood RW and related decapod trade-off studies. Motivational trade-offs and electric-shock avoidance in hermit/shore crabs,"Multiple studies, 2016-2024",Decapod motivational trade-offs and nonreflexive valuation,PARTIAL: umbrella literature cluster; exact study-level source IDs required before any score promotion
SRC-068,Trujillo et al. Complex Oscillatory Waves Emerging from Cortical Organoids Model Early Human Brain Network Development,"Cell Stem Cell, 2019",Organoid oscillations / developmental network organization,Closed; DOI 10.1016/j.stem.2019.08.002
SRC-069,Sharf et al. Functional neuronal circuitry and oscillatory dynamics in human brain organoids,"Nature Communications, 2022",Functional connectivity / field potentials / drug perturbation,Closed; DOI 10.1038/s41467-022-32115-4
SRC-070,Osaki et al. Complex activity and short-term plasticity of reciprocally connected cerebral organoids,"Nature Communications, 2024",Dual-organoid causal integration / plasticity,Closed; DOI 10.1038/s41467-024-46787-7
SRC-071,Martin-Burgos et al. Development of neuronal timescales in human cortical organoids,"Journal of Neurophysiology, 2024",Temporal persistence / EV4,Closed; DOI 10.1152/jn.00135.2024
SRC-072,Cai et al. Brain organoid reservoir computing for artificial intelligence,"Nature Electronics, 2023",Fading memory / adaptive reservoir computation,Closed; DOI 10.1038/s41928-023-01069-w
SRC-073,Park et al. Modulation of neuronal activity in cortical organoids with bioelectronic delivery,"Cell Reports Methods, 2024",Selective causal modulation,Closed; DOI 10.1016/j.crmeth.2023.100686
SRC-074,Quadrato et al. Cell diversity and network dynamics in photosensitive human brain organoids,"Nature, 2017",Input-sensitive organoid network activity,Closed; DOI 10.1038/nature22047
SRC-075,Andersen et al. Generation of Functional Human 3D Cortico-Motor Assembloids,"Cell, 2020",Multisynaptic output / assembloids,Closed; DOI 10.1016/j.cell.2020.11.017
SRC-076,Wilson et al. Cortical organoids implanted in mice reveal functional connection with visual cortex,"Nature Communications, 2022",Host sensory embedding / transplantation,Closed; PMID 36572698
SRC-077,Consciousness and Human Brain Organoids: conceptual mapping systematic review,"AJOB Neuroscience, 2025",Organoid consciousness measurement / conceptual synthesis,Closed; DOI 10.1080/21507740.2025.2519459
SRC-078,Holm & Lewis. Neural Organoids: possibility of sentience,"Cambridge Quarterly of Healthcare Ethics, 2025",Sentience inference guardrails,Closed; DOI 10.1017/S0963180126100140
